time,lat,lon
0 days 00:23:57,58.158203,38.99231
0 days 00:24:01,58.159214,38.992161
0 days 00:24:05,58.160213,38.992203
0 days 00:24:09,58.161205,38.992474
0 days 00:24:13,58.162174,38.992939
0 days 00:24:17,58.163109,38.993652
0 days 00:24:21,58.163998,38.994553
0 days 00:24:25,58.164829,38.995621
0 days 00:24:29,58.165592,38.996868
0 days 00:24:33,58.166275,38.998234
0 days 00:24:37,58.166878,38.99976
0 days 00:24:41,58.167374,39.001396
0 days 00:24:45,58.167774,39.003113
0 days 00:24:49,58.168083,39.004944
0 days 00:24:53,58.16827,39.006817
0 days 00:24:58,58.168369,39.009171
0 days 00:25:02,58.168514,39.011093
0 days 00:25:06,58.168369,39.013035
0 days 00:25:10,58.168106,39.014839
0 days 00:25:14,58.16774,39.01656
0 days 00:25:18,58.167271,39.018185
0 days 00:25:22,58.166698,39.019703
0 days 00:25:26,58.166039,39.021103
0 days 00:25:30,58.165306,39.02235
0 days 00:25:34,58.164494,39.023441
0 days 00:25:38,58.163631,39.024345
0 days 00:25:42,58.162704,39.025063
0 days 00:25:46,58.161743,39.025585
0 days 00:25:50,58.160751,39.025887
0 days 00:25:54,58.15974,39.026012
0 days 00:25:58,58.158741,39.025925
0 days 00:26:01,58.157772,39.025795
0 days 00:26:06,58.156696,39.025257
0 days 00:26:10,58.155804,39.024532
0 days 00:26:14,58.154964,39.023495
0 days 00:26:18,58.15414,39.022427
0 days 00:26:22,58.153385,39.021183
0 days 00:26:26,58.152451,39.019722
0 days 00:26:31,58.151905,39.01791
0 days 00:26:35,58.151474,39.016235
0 days 00:26:39,58.151131,39.01442
0 days 00:26:43,58.150871,39.012569
0 days 00:26:47,58.150723,39.010689
0 days 00:26:51,58.150684,39.008793
0 days 00:26:55,58.150749,39.006886
0 days 00:26:59,58.150936,39.005009
0 days 00:27:03,58.151051,39.003216
0 days 00:27:07,58.151539,39.001545
0 days 00:27:11,58.152077,38.99987
0 days 00:27:15,58.152687,38.998306
0 days 00:27:19,58.153393,38.996838
0 days 00:27:24,58.154255,38.995403
0 days 00:27:28,58.155151,38.994362
0 days 00:27:33,58.156178,38.993343
0 days 00:27:37,58.157177,38.992779
0 days 00:27:41,58.158203,38.992336
0 days 00:27:45,58.159107,38.992134
0 days 00:27:49,58.160191,38.992146
0 days 00:27:53,58.16124,38.992195
0 days 00:27:57,58.162266,38.992447
0 days 00:28:01,58.163258,38.992939
0 days 00:28:05,58.164227,38.993641
0 days 00:28:09,58.165073,38.994621
0 days 00:28:13,58.165878,38.995682
0 days 00:28:17,58.166603,38.996956
0 days 00:28:21,58.167244,38.998379
0 days 00:28:25,58.167824,38.99992
0 days 00:28:29,58.168343,39.001595
0 days 00:28:33,58.168716,39.003269
0 days 00:28:37,58.16898,39.004986
0 days 00:28:41,58.169125,39.006733
0 days 00:28:45,58.169189,39.008488
0 days 00:28:50,58.168961,39.010384
0 days 00:28:55,58.168564,39.012306
0 days 00:29:00,58.168068,39.014072
0 days 00:29:04,58.167561,39.015545
0 days 00:29:08,58.166885,39.016716
0 days 00:29:12,58.16608,39.017761
0 days 00:29:16,58.165241,39.018833
0 days 00:29:20,58.164356,39.01955
0 days 00:29:24,58.163452,39.020351
0 days 00:29:28,58.162548,39.020779
0 days 00:29:32,58.161549,39.021133
0 days 00:29:36,58.160545,39.021343
0 days 00:29:40,58.159538,39.021084
0 days 00:29:44,58.158527,39.020878
0 days 00:29:48,58.157551,39.020248
0 days 00:29:52,58.156601,39.019554
0 days 00:29:56,58.155682,39.018738
0 days 00:30:00,58.154808,39.017464
0 days 00:30:04,58.153954,39.016151
0 days 00:30:08,58.153175,39.014843
0 days 00:30:12,58.152473,39.01318
0 days 00:30:16,58.151905,39.011532
0 days 00:30:20,58.151367,39.009457
0 days 00:30:24,58.151051,39.007507
0 days 00:30:28,58.150871,39.005482
0 days 00:30:31,58.150772,39.003681
0 days 00:30:35,58.150707,39.001598
0 days 00:30:39,58.150742,38.999454
0 days 00:30:43,58.150879,38.997379
0 days 00:30:47,58.151131,38.995338
0 days 00:30:51,58.151505,38.993382
0 days 00:30:55,58.15197,38.991482
0 days 00:30:59,58.152531,38.989727
0 days 00:31:03,58.153191,38.988102
0 days 00:31:07,58.153923,38.986622
0 days 00:31:11,58.154728,38.985268
0 days 00:31:15,58.155598,38.984123
0 days 00:31:19,58.156517,38.983166
0 days 00:31:23,58.157471,38.982422
0 days 00:31:27,58.158447,38.981869
0 days 00:31:31,58.159447,38.981529
0 days 00:31:35,58.16045,38.981358
0 days 00:31:39,58.161449,38.981464
0 days 00:31:43,58.162426,38.981689
0 days 00:31:47,58.163345,38.982113
0 days 00:31:51,58.164219,38.983086
0 days 00:31:55,58.165039,38.984238
0 days 00:31:59,58.165806,38.985233
0 days 00:32:03,58.166496,38.986824
0 days 00:32:07,58.167091,38.988136
0 days 00:32:11,58.167595,38.990074
0 days 00:32:15,58.168003,38.991673
0 days 00:32:19,58.168293,38.99379
0 days 00:32:23,58.16848,38.99567
0 days 00:32:27,58.168564,38.997616
0 days 00:32:32,58.168491,38.99958
0 days 00:32:36,58.168343,39.00153
0 days 00:32:40,58.168076,39.003231
0 days 00:32:44,58.167702,39.004921
0 days 00:32:48,58.167213,39.00658
0 days 00:32:52,58.166618,39.007996
0 days 00:32:56,58.165943,39.009762
0 days 00:33:00,58.165195,39.011093
0 days 00:33:04,58.164371,39.012268
0 days 00:33:08,58.163494,39.013268
0 days 00:33:12,58.162563,39.014099
0 days 00:33:16,58.161606,39.014736
0 days 00:33:20,58.160603,39.015179
0 days 00:33:24,58.159603,39.015404
0 days 00:33:28,58.158604,39.01543
0 days 00:33:32,58.157608,39.015236
0 days 00:33:36,58.156639,39.014816
0 days 00:33:40,58.155697,39.014214
0 days 00:33:44,58.154808,39.013409
0 days 00:33:48,58.15398,39.012173
0 days 00:33:52,58.153221,39.010899
0 days 00:33:56,58.152538,39.00946
0 days 00:34:00,58.151943,39.007786
0 days 00:34:04,58.151447,39.00602
0 days 00:34:08,58.151058,39.004112
0 days 00:34:12,58.150772,39.002132
0 days 00:34:16,58.150593,39.000126
0 days 00:34:20,58.15052,38.998051
0 days 00:34:24,58.150562,38.995945
0 days 00:34:28,58.150707,38.993942
0 days 00:34:32,58.150967,38.991886
0 days 00:34:36,58.151344,38.989933
0 days 00:34:40,58.151814,38.988152
0 days 00:34:44,58.152378,38.986412
0 days 00:34:48,58.153027,38.984852
0 days 00:34:52,58.153759,38.983566
0 days 00:34:56,58.154564,38.982468
0 days 00:35:00,58.155445,38.981636
0 days 00:35:04,58.156357,38.981003
0 days 00:35:08,58.157307,38.980537
0 days 00:35:12,58.158291,38.980274
0 days 00:35:16,58.159294,38.980217
0 days 00:35:20,58.160301,38.980385
0 days 00:35:24,58.161297,38.980595
0 days 00:35:28,58.162273,38.980953
0 days 00:35:32,58.163208,38.981411
0 days 00:35:36,58.164097,38.982151
0 days 00:35:40,58.164925,38.983032
0 days 00:35:44,58.165684,38.984425
0 days 00:35:48,58.166348,38.98592
0 days 00:35:52,58.166943,38.987602
0 days 00:35:56,58.167446,38.989365
0 days 00:36:00,58.167862,38.991192
0 days 00:36:05,58.168228,38.993484
0 days 00:36:09,58.168407,38.995232
0 days 00:36:14,58.16848,38.997356
0 days 00:36:18,58.168465,38.999146
0 days 00:36:23,58.168133,39.001038
0 days 00:36:27,58.167789,39.002743
0 days 00:36:31,58.167336,39.004478
0 days 00:36:35,58.16679,39.006222
0 days 00:36:39,58.166153,39.007862
0 days 00:36:43,58.165447,39.008968
0 days 00:36:47,58.164658,39.010204
0 days 00:36:51,58.163811,39.011349
0 days 00:36:55,58.162899,39.012394
0 days 00:36:59,58.161953,39.012951
0 days 00:37:03,58.160969,39.013508
0 days 00:37:07,58.159969,39.013874
0 days 00:37:11,58.158951,39.014023
0 days 00:37:15,58.157959,39.013618
0 days 00:37:19,58.156982,39.013386
0 days 00:37:23,58.156029,39.012672
0 days 00:37:27,58.155117,39.011761
0 days 00:37:31,58.154255,39.010727
0 days 00:37:35,58.153458,39.009415
0 days 00:37:39,58.152733,39.007912
0 days 00:37:43,58.152092,39.006268
0 days 00:37:47,58.151546,39.00444
0 days 00:37:51,58.1511,39.002651
0 days 00:37:55,58.150749,39.000664
0 days 00:37:59,58.150505,38.99873
0 days 00:38:03,58.150375,38.99662
0 days 00:38:07,58.150356,38.994522
0 days 00:38:11,58.150455,38.99247
0 days 00:38:15,58.150658,38.990528
0 days 00:38:19,58.150959,38.988873
0 days 00:38:23,58.151367,38.987316
0 days 00:38:27,58.151897,38.985889
0 days 00:38:31,58.152515,38.98452
0 days 00:38:35,58.153206,38.983253
0 days 00:38:39,58.153988,38.982231
0 days 00:38:43,58.154835,38.981045
0 days 00:38:47,58.155727,38.980312
0 days 00:38:51,58.156666,38.979416
0 days 00:38:55,58.157642,38.978748
0 days 00:38:59,58.158642,38.97839
0 days 00:39:03,58.159645,38.978348
0 days 00:39:07,58.160645,38.978455
0 days 00:39:11,58.161621,38.978664
0 days 00:39:15,58.162582,38.979076
0 days 00:39:19,58.163494,38.97966
0 days 00:39:23,58.164356,38.980705
